":LapTime",":Time","Speed","Speed Input","Steering Angle"
0,0,0,0,-128
1,1,0,0,-128
2,2,0,0,-128
3,3,0,0,-128
4,4,0,0,-128
5,5,0.144,0,-128
6,6,0.936,0,-128
7,7,0.72,0,-128
8,8,0.36,0,-128
9,9,0.324,0,-128
10,10,0.18,0,-128
11,11,0.504,0,-128
12,12,0.828,0,-128
13,13,0.108,0,-128
14,14,0,0,-128
15,15,0.144,0,-128
16,16,0.108,0,-128
17,17,0.108,0,-128
18,18,0,0,-128
19,19,0.216,0,-128
20,20,0.108,0,-128
21,21,0.108,0,-128
22,22,0.144,0,-128
23,23,0.18,0,-128
24,24,0.036,0,-128
25,25,0,0,-128
26,26,0.036,0,-128
27,27,0.072,0,-128
28,28,0.036,0,-128
29,29,0.036,0,-128
30,30,0.036,0,-128
31,31,0,0,-128
32,32,0.036,0,-128
33,33,0.072,0,-128
34,34,0.108,0,-128
35,35,0.036,0,-128
36,36,0.072,0,-128
37,37,0.036,0,-128
38,38,0,0,-128
39,39,0.036,0,-128
40,40,0.108,0,-128
41,41,0.108,0,-128
42,42,0.072,0,-128
43,43,0.108,0,-128
44,44,0.036,0,-128
45,45,0,0,-128
46,46,0,0,-128
47,47,0.108,0,-128
48,48,0.072,0,-128
49,49,0.18,0,-128
50,50,0,0,-128
51,51,0.108,0,-128
52,52,0.036,0,-128
53,53,0.108,0,-128
54,54,0.108,0,-128
55,55,0.072,0,-128
56,56,0.072,0,-128
57,57,0.108,0,-128
58,58,0.072,0,-128
59,59,0.144,0,-128
60,60,0.036,0,-128
61,61,0.036,0,-128
62,62,0,0,-128
63,63,0.072,0,-128
64,64,0.036,0,-128
65,65,0,0,-128
66,66,0.036,0,-128
67,67,0,0,-128
68,68,0.108,0,-128
69,69,0.108,0,-128
70,70,0.072,0,-128
71,71,0.072,0,-128
72,72,0.18,0,-128
73,73,0,0,-128
74,74,0.036,0,-128
75,75,0,0,-128
76,76,0.144,0,-128
77,77,0.108,0,-128
78,78,0.072,0,-128
79,79,0.036,0,-128
80,80,0.144,0,-128
81,81,0.072,0,-128
82,82,0.216,0,-128
83,83,0.036,0,-128
84,84,0.108,0,-128
85,85,0.18,0,-128
86,86,0.036,0,-128
87,87,0.108,0,-128
