:Time,Speed,Speed Input
258.06,3.312,3.3
258.08,3.312,3.3
258.1,3.42,4.4
258.12,3.42,4.4
258.14,3.924,5.4
258.16,3.924,5.4
258.18,4.752,6
258.2,4.752,6.6
258.22,5.688,6.6
258.24,5.688,7.2
258.26,6.552,7.8
258.28,6.552,7.8
258.3,7.092,8.2
258.32,7.092,8.7
258.34,7.668,9.2
258.36,7.668,9.7
258.38,8.532,10.4
258.4,8.532,10.7
258.42,9.252,11.1
258.44,9.252,11.4
258.46,9.9,11.7
258.48,9.9,12.1
258.5,10.44,12.4
258.52,10.44,13.1
258.54,11.376,13.4
258.56,11.376,13.7
258.58,12.564,14
258.6,12.564,14.8
258.62,13.644,15.1
258.64,13.644,15.5
258.66,14.04,15.9
258.68,14.04,16.4
258.7,14.724,16.7
258.72,14.724,17.2
258.74,15.624,21.5
258.76,15.624,17.9
258.78,16.848,18.6
258.8,16.848,18.9
258.82,16.848,19.6
258.84,18,20.1
258.86,19.116,20.7
258.88,19.116,21.2
258.9,19.8,21.7
258.92,19.8,22.5
258.94,20.772,23.3
258.96,20.772,23.7
258.98,21.564,24.4
259,21.564,24.9
259.02,22.716,25.6
259.04,22.716,26
259.06,23.616,26.8
259.08,23.616,27.2
259.1,24.624,27.4
259.12,24.624,28.1
259.14,25.272,28.5
259.16,25.272,28.8
259.18,25.848,29.3
259.2,25.848,29.8
259.22,26.784,30.1
259.24,26.784,30.8
259.26,27.972,31.3
259.28,27.972,31.4
259.3,29.196,32
259.32,29.196,32.2
259.34,29.556,32.8
259.36,29.556,32.8
259.38,30.348,32.6
259.4,30.348,33.1
259.42,30.96,33.1
259.44,30.96,33.5
259.46,31.788,33.4
259.48,31.788,33.1
259.5,32.508,34
259.52,32.508,34.2
259.54,32.94,34
259.56,32.94,34.4
259.58,33.192,34.2
259.6,33.192,35
259.62,33.408,34.9
259.64,33.408,35.1
259.66,33.948,35.4
259.68,33.948,36
259.7,34.884,36.6
259.72,34.884,36.9
259.74,35.604,37.5
259.76,35.604,38.2
259.78,36.432,38.4
259.8,36.432,39.1
259.82,36.432,39.8
259.84,37.476,40.8
259.86,38.808,40.9
259.88,38.808,42.7
259.9,40.32,43.1
259.92,40.32,44.3
259.94,41.688,44.6
259.96,41.688,45.5
259.98,42.66,45.4
260,42.66,45.9
260.02,43.524,47
260.04,43.524,47.4
260.06,44.46,46.8
260.08,44.46,47.4
260.1,45.396,48.6
260.12,45.396,47.8
260.14,46.26,48.6
260.16,46.26,48.8
260.18,47.124,49.6
