Time,Speed MPS,RPM,Power W,Torque
0,0.51,83.2881,452.4761573,49.65214321
0.1,0.95,155.1445,1112.55694,65.54070638
0.2,1.32,215.5692,1456.608688,61.7563245
0.3,1.97,321.7207,3686.024638,104.7139358
0.4,2.37,387.0447,3009.483861,71.06506352
0.5,2.9,473.599,4828.172744,93.17454444
0.6,3.49,569.9519,6515.287261,104.4769817
0.7,4.09,667.9379,7867.40347,107.6516253
0.8,4.68,764.2908,8965.431267,107.2106202
0.9,5.5,898.205,14429.36588,146.8239935
1,5.99,978.2269,9829.860986,91.84024415
1.1,6.84,1117.0404,18903.90775,154.6706688
1.2,7.18,1172.5658,8466.589837,65.99279958
1.3,8.11,1324.4441,24701.72344,170.4585841
1.4,8.43,1376.7033,9516.640739,63.17839313
1.5,9.03,1474.6893,18447.59575,114.3311308
1.6,9.22,1505.7182,6522.409876,39.5903774
1.7,9.69,1582.4739,15849.03337,91.5359048
1.8,10.12,1652.6972,15298.88783,84.60418067
1.9,11.2,1829.072,40276.61749,201.2553545
2,11.85,1935.2235,26715.86498,126.1721099
2.1,12.61,2059.3391,33077.97009,146.8034424
2.2,13.09,2137.7279,22554.77995,96.42983501
2.3,13.78,2250.4118,33364.91309,135.5043559
2.4,14.12,2305.9372,18039.10737,71.49782372
2.5,14.39,2350.0309,15087.58418,58.67747108
2.6,14.9,2433.319,27635.62837,103.7995693
2.7,15.31,2500.2761,23450.68105,85.72208884
2.8,15.67,2559.0677,21501.73837,76.7921899
2.9,15.82,2583.5642,10600.71526,37.5008547
3,16.19,2643.9889,22916.50107,79.21618748
3.1,16.47,2689.7157,18445.87824,62.67844514
3.2,16.65,2719.1115,13103.80383,44.04489926
3.3,17.19,2807.2989,34382.12829,111.9358897
3.4,17.69,2888.9539,33230.58203,105.129014
3.5,18.17,2967.3427,33116.99069,102.001936
3.6,18.34,2995.1054,14442.35378,44.07081925
3.7,19.04,3109.4224,48923.71376,143.8020073
3.8,19.15,3127.3865,11524.79424,33.68037188
3.9,19.36,3161.6816,18291.87784,52.87683051
4.1,19.75,3225.3725,35394.67926,100.295941
4.2,19.76,3227.0056,5440.647979,15.40906059
5.8,10.79,1762.1149,6388.839326,33.13698547
6.1,10.17,1660.8627,11033.15117,60.7143139
6.2,10.62,1734.3522,16828.20814,88.68003057
6.3,11.02,1799.6762,15722.43215,79.84553047
6.4,11.51,1879.6981,19904.21744,96.77925168
6.5,11.83,1931.9573,13893.20659,65.72494401
6.6,12.06,1969.5186,10586.07213,49.12471196
6.7,12.57,2052.8067,22782.79687,101.4341598
6.8,12.61,2059.3391,3084.464211,13.68917025
7.3,11.55,1886.2305,4223.182178,20.46304729
7.4,12.02,1962.9862,20099.68512,93.58306438
7.5,12.62,2060.9722,26588.97572,117.9111102
7.6,13.05,2131.1955,20328.26405,87.17706781
7.7,13.68,2234.0808,30430.05614,124.4884708
7.8,14.16,2312.4696,24667.61145,97.49364815
7.9,14.43,2356.5633,15139.41933,58.71585144
8.5,12.26,2002.1806,6261.932158,28.58448446
8.6,12.58,2054.4398,14917.30867,66.36243471
8.7,13.19,2154.0589,28358.41817,120.3232856
8.9,13.85,2261.8435,35347.12931,142.8291499
9,14.45,2359.8295,30944.60789,119.8476749
9.1,15.09,2464.3479,34480.88145,127.8796961
9.2,16,2612.96,50887.18,177.9921617
9.3,16.16,2639.0896,11476.30011,39.74413196
9.6,16.52,2697.8812,40407.80958,136.888745
9.7,16.96,2769.7376,28219.78818,93.11944471
9.8,17.21,2810.5651,17792.54852,57.8588456
9.9,17.94,2929.7814,47393.00659,147.8442023
10,18.32,2991.8392,27347.55054,83.54211004
10.1,18.71,3055.5301,28715.30972,85.89189675
10.2,19.14,3125.7534,32116.15776,93.90616935
10.3,19.48,3181.2788,26975.83141,77.4994039
10.4,19.81,3235.1711,26919.17607,76.04834435
10.5,20.2,3298.862,31695.11777,87.81192065
10.6,20.37,3326.6247,16965.38253,46.61064399
10.7,20.75,3388.6825,32138.67162,86.68067749
10.8,20.7,3380.517,1909.952452,5.163743795
10.9,20.69,3378.8839,4731.781789,12.79901929
11,21.03,3434.4093,29896.06989,79.55863134
11.1,21.5,3511.165,40171.61412,104.5666749
11.2,21.78,3556.8918,26975.7423,69.31512401
11.3,22.29,3640.1799,45079.29604,113.1825653
11.4,22.53,3679.3743,25299.92254,62.84496312
11.5,22.94,3746.3314,39124.34677,95.44785257
11.6,23.18,3785.5258,26428.07282,63.80644364
11.7,23.55,3845.9505,37395.09855,88.86612569
11.8,23.73,3875.3463,22594.29121,53.28604162
11.9,24,3919.44,30329.89059,70.72485697
12,24.24,3958.6344,28340.61875,65.4318483
12.1,24.39,3983.1309,21189.45658,48.62062023
12.3,24.64,4023.9584,39051.57717,88.69728997
12.4,24.86,4059.8866,27821.86591,62.63219104
12.5,25.14,4105.6134,33433.35141,74.42641765
12.6,25.35,4139.9085,27872.39344,61.53309729
12.7,25.67,4192.1677,38000.14296,82.84605593
12.8,25.84,4219.9304,25284.24612,54.76082416
12.9,26.28,4291.7868,49989.18688,106.4542949
13,26.35,4303.2185,17237.85196,36.61128759
13.1,26.67,4355.4777,40288.69598,84.54202986
13.2,26.8,4376.708,23366.02943,48.79357075
13.3,26.99,4407.7369,29182.51223,60.51071262
13.4,26.95,4401.2045,8016.817599,16.64775627
15.7,12.71,2075.6701,19726.51065,86.85947431
15.8,12.78,2087.1018,4460.194627,19.53149255
15.9,12.99,2121.3969,10711.74558,46.14913592
16.2,12.82,2093.6342,22029.95872,96.16967183
16.3,12.97,2118.1307,8073.083101,34.83468781
16.5,13.17,2150.7927,12221.78134,51.93512851
16.6,13.17,2150.7927,1536.134285,6.527635314
16.7,13.32,2175.2892,8362.339985,35.1346856
16.9,12.75,2082.2025,3578.192794,15.70601573
17.4,11.83,1931.9573,17023.84188,80.53511963
17.5,12.17,1987.4827,15162.44451,69.7254173
17.6,12.27,2003.8137,5439.046626,24.80793955
18.2,11.21,1830.7051,2145.826995,10.71276475
18.4,11.33,1850.3023,7169.460921,35.41351767
18.5,11.67,1905.8277,14451.53569,69.30357206
18.6,11.93,1948.2883,11645.62094,54.63043794
18.7,12.74,2080.5694,35492.6245,155.9125815
18.8,13.02,2126.2962,13793.4611,59.28908475
18.9,13.56,2214.4836,26147.6507,107.915906
19,13.88,2266.7428,16751.00355,67.54043299
19.1,14.3,2335.333,22112.9212,86.54112901
19.4,13.33,2176.9223,2950.074591,12.38555076
19.5,14.05,2294.5055,35461.07706,141.2498756
19.6,14.36,2345.1316,16968.90105,66.13201463
19.7,14.78,2413.7218,22983.71726,87.02786156
19.8,15.26,2492.1106,26897.93773,98.64541999
19.9,15.89,2594.9959,36051.57005,126.9734037
20.4,14.8,2416.988,12642.17588,47.8049192
20.5,15.21,2483.9451,23268.98465,85.6171358
20.6,15.94,2603.1614,41388.05904,145.3112433
20.7,16.45,2686.4495,31015.55133,105.5178854
20.8,16.79,2741.9749,22283.01398,74.27381174
20.9,17.38,2838.3278,37701.63069,121.4011606
21,17.58,2870.9898,15346.72614,48.85503721
21.1,18.22,2975.5082,42868.5183,131.6747723
21.2,18.52,3024.5012,22765.06461,68.79238726
21.3,19.02,3106.1562,36294.19201,106.7920924
21.4,19.24,3142.0844,18775.95519,54.6146869
21.5,19.77,3228.6387,40043.18232,113.3533582
21.6,19.85,3241.7035,10235.95547,28.85893851
21.7,20.14,3289.0634,24816.92262,68.96058488
21.8,20.33,3320.0923,18287.91074,50.34301142
21.9,20.38,3328.2578,8679.726835,23.83495595
22,20.53,3352.7543,15786.20636,43.03296816
22.1,21.05,3437.6755,42597.96602,113.2528758
22.2,21.35,3486.6685,27650.23349,72.4792014
22.3,21.4,3494.834,9637.932791,25.20476172
22.7,20.31,3316.8261,13446.89335,37.05309696
22.8,20.62,3367.4522,27029.96298,73.36167961
22.9,20.65,3372.3515,7519.782138,20.37969492
23,21.11,3447.4741,38530.3227,102.1472994
23.1,21.24,3468.7044,15255.35337,40.19575915
24.4,12.78,2087.1018,18584.38874,81.38228949
25.5,9.25,1510.6175,12660.65779,76.59969027
25.6,9.3,1518.783,2202.648489,13.25484712
25.7,9.83,1605.3373,18008.79141,102.5282456
25.8,10.21,1667.3951,13775.85782,75.51015913
25.9,10.92,1783.3452,26526.04035,135.9446946
26,10.95,1788.2445,2059.801175,10.52746142
26.1,11.62,1897.6622,26895.18701,129.5331469
26.2,12.26,2002.1806,27338.4498,124.7946279
26.3,13.02,2126.2962,34264.04934,147.2787802
26.4,13.37,2183.4547,17356.58838,72.65164173
26.5,14.49,2366.3619,55222.82125,213.2861627
26.6,15.1,2465.981,33025.25304,122.4000746
26.7,15.74,2570.4994,36177.32829,128.6305832
26.8,16.15,2637.4565,24998.0874,86.62569487
26.9,16.94,2766.4714,47673.49733,157.498377
27,17.26,2818.7306,21915.65878,71.06016549
27.1,17.75,2898.7525,32777.7075,103.3457673
27.2,18.18,2968.9758,30115.55074,92.70633384
27.3,18.8,3070.228,43247.31757,128.7400881
27.4,19.04,3109.4224,19779.73729,58.13879831
27.5,19.57,3195.9767,39544.84361,113.0866952
28.3,15.06,2459.4486,18485.19195,68.6928395
28.4,15.48,2528.0388,24274.75947,87.75996775
28.5,15.56,2541.1036,6664.348655,23.96958931
28.6,15.91,2598.2621,21372.97273,75.18084936
28.7,16.11,2630.9241,13599.70979,47.24399081
29.6,12.3,2008.713,858.3624659,3.905512959
29.7,13.22,2158.9582,41603.36925,176.1203437
29.8,13.34,2178.5554,7027.466729,29.48189835
29.9,14.05,2294.5055,35006.11824,139.4376668
30.9,11.01,1798.0431,8029.542413,40.81463842
31,11.25,1837.2375,10122.8625,50.35739911
31.1,11.37,1856.8347,5668.288984,27.89998661
31.2,11.46,1871.5326,4564.652172,22.29130777
31.4,11.41,1863.3671,18966.90324,93.03005125
31.6,11.54,1884.5974,13120.47474,63.6291639
31.7,12.22,1995.6482,28817.70471,131.9777308
31.8,12.47,2036.4757,11855.55171,53.20687983
31.9,12.5,2041.375,2612.435294,11.69628671
32.4,11.15,1820.9065,18852.77481,94.62652433
32.5,11.56,1887.8636,16967.74065,82.14453194
32.6,11.54,1884.5974,291.045328,1.411455854
32.7,12.02,1962.9862,20493.57335,95.41698705
32.8,12.46,2034.8426,19697.54618,88.47214581
32.9,12.64,2064.2384,9082.223552,40.21217737
33,13.03,2127.9293,18570.46544,79.76104751
33.1,13.99,2284.7069,46059.88189,184.2542786
33.2,14.15,2310.8365,9548.507538,37.76517759
33.3,14.82,2420.2542,35232.54313,133.0479736
33.4,15.43,2519.8733,33850.11906,122.7740975
33.5,15.93,2601.5283,29340.83851,103.0787685
33.6,16.51,2696.2481,34961.85901,118.511343
33.7,17.09,2790.9679,36401.44657,119.2035134
33.8,17.58,2870.9898,32399.2379,103.1403023
33.9,17.95,2931.4145,26052.33532,81.22592809
34,18.38,3001.6378,30527.48316,92.95183531
35.5,7.72,1260.7532,5338.639563,38.70131984
35.6,7.97,1301.5807,7117.936056,49.98137928
35.7,8.37,1366.9047,11629.07837,77.75571425
35.8,8.53,1393.0343,5114.544039,33.55601402
35.9,8.7,1420.797,5523.169958,35.52888929
36.1,9,1469.79,16366.99647,101.7744948
36.4,8.68,1417.5308,8681.739237,55.97569417
36.5,9.03,1474.6893,11150.68399,69.10766729
36.6,9.08,1482.8548,2129.362701,13.12430365
36.7,9.2,1502.452,4346.023228,26.43727519
36.8,9.19,1500.8189,288.6611303,1.757864001
36.9,9.47,1546.5457,9562.026734,56.50832711
37,9.62,1571.0422,5560.02381,32.34551388
37.1,10.27,1677.1937,22851.58219,124.5255038
37.2,10.63,1735.9853,13705.99958,72.15890354
37.3,11.33,1850.3023,27251.10798,134.6067165
37.4,11.83,1931.9573,20906.43011,98.90257806
37.5,12.23,1997.2813,17676.26113,80.88657153
37.6,12.49,2039.7419,12295.74627,55.09407935
37.7,12.91,2108.3321,19653.90278,85.19910588
37.8,13.18,2152.4258,13556.0416,57.56121583
37.9,13.98,2283.0738,38872.53096,155.6138052
38,14.6,2384.326,32263.34396,123.6713206
38.1,15.1,2465.981,27566.6001,102.1689041
38.2,15.55,2539.4705,25952.34599,93.40254395
38.3,16.28,2658.6868,42392.64668,145.7298799
38.4,16.92,2763.2052,39316.22983,130.0421025
38.5,17.43,2846.4933,33221.97161,106.669557
38.6,17.86,2916.7166,29461.65779,92.31838577
38.7,18.44,3011.4364,39830.05548,120.8822321
38.8,18.74,3060.4294,23125.50911,69.06121139
38.9,19.34,3158.4154,43458.99773,125.7580262
39,19.65,3209.0415,25310.04221,72.08464942
39.1,20.03,3271.0993,30677.30514,85.713402
39.2,20.32,3318.4592,25124.96619,69.19811407
39.3,20.42,3334.7902,12186.52135,33.39923287
39.4,20.36,3324.9916,1018.815831,2.800466532
39.5,20.85,3405.0135,40006.16999,107.3824708
39.6,20.93,3418.0783,11322.69388,30.27561776
39.7,21.5,3511.165,47329.49647,123.1986362
39.8,21.83,3565.0573,30737.21705,78.79946776
39.9,22.24,3632.0144,37517.92843,94.40968392
40,22.56,3684.2736,31432.3914,77.97417785
40.1,22.94,3746.3314,36816.79971,89.81835509
40.2,23.24,3795.3244,31235.99023,75.2197058
40.3,23.59,3852.4829,35899.44293,85.1671755
40.4,23.8,3886.778,25122.60675,59.07452239
41.4,15.93,2601.5283,1504.932624,5.287054132
42.3,11.69,1909.0939,717.5703374,3.435282385
42.4,11.98,1956.4538,12901.17612,60.26774776
42.5,12.49,2039.7419,22620.59921,101.3570922
42.6,12.48,2038.1088,902.8850778,4.048837679
42.7,12.72,2077.3032,11715.74225,51.5460242
42.8,13.09,2137.7279,17801.67995,76.10861486
42.9,13.47,2199.7857,18850.06042,78.31728558
43,13.72,2240.6132,13312.5163,54.30233655
43.1,14.05,2294.5055,17464.87118,69.56672176
43.2,14.06,2296.1386,2315.091213,9.214998351
43.3,14.43,2356.5633,19953.41933,77.38619161
43.4,14.49,2366.3619,4953.880073,19.1332867
43.5,14.6,2384.326,7494.443962,28.72757961
43.6,14.77,2412.0887,10619.13382,40.23658135
43.7,15.13,2470.8803,20608.68141,76.22961974
43.9,15.42,2518.2402,24163.09165,87.69616529
44,15.45,2523.1395,3960.695728,14.34681414
44.1,15.67,2559.0677,14155.52661,50.55562804
44.2,16.44,2684.8164,45008.85225,153.2175809
44.3,16.46,2688.0826,3963.556069,13.47620631
44.4,16.85,2751.7735,25195.0211,83.68108394
44.5,17.36,2835.0616,33062.49625,106.5855659
44.6,17.81,2908.5511,30545.30602,95.98271647
44.7,18.54,3027.7674,49241.43944,148.6392434
44.8,18.72,3057.1632,15526.68346,46.41788313
46.2,10.16,1659.2296,17350.98327,95.57468143
46.3,10.43,1703.3233,10312.84439,55.33585599
46.5,10.4,1698.424,1532.180744,8.244971076
46.7,10.79,1762.1149,19586.73933,101.590518
46.8,10.98,1793.1438,8003.337127,40.79258686
46.9,11.31,1847.0361,13571.48797,67.15484283
47,11.39,1860.1009,4140.526501,20.34437351
47.1,12.62,2060.9722,51747.84043,229.4802695
47.2,12.82,2093.6342,10107.88813,44.12501616
47.3,13.73,2242.2463,42935.16667,175.0068677
47.4,14.36,2345.1316,32133.51281,125.2322666
47.5,14.5,2367.995,8890.069412,34.31228382
47.6,14.96,2443.1176,25294.82248,94.62644363
47.7,15.99,2611.3269,57000.92059,199.5013698
47.8,16.06,2622.7586,6479.25232,22.5783306
47.9,16.75,2735.4425,41603.05632,139.0025928
48,17.16,2802.3996,26910.81587,87.76514146
48.1,17.54,2864.4574,25891.03532,82.6099395
48.2,18.01,2941.2131,32163.80235,99.94616802
48.3,18.55,3029.4005,37659.30408,113.616355
48.4,18.77,3065.3287,18122.76072,54.03467698
48.5,19.22,3138.8182,33567.03455,97.73994003
48.6,19.6,3200.876,29821.68655,85.15077513
48.7,19.77,3228.6387,16190.85291,45.83270968
48.8,20.04,3272.7324,23298.43045,65.0640995
48.9,20.33,3320.0923,25142.14603,69.21136935
49,20.5,3347.855,17136.50118,46.78221386
49.1,20.45,3339.6895,1766.051375,4.833063451
49.2,20.76,3390.3156,27283.64394,73.55081679
49.3,21.02,3432.7762,24221.34445,64.48786664
49.4,21.34,3485.0354,29066.96864,76.2285753
49.5,21.84,3566.6904,43183.35808,110.6563277
49.6,22.03,3597.7193,20733.09445,52.66985283
49.7,22.33,3646.7123,29475.25185,73.87224157
49.8,22.38,3654.8778,10630.7594,26.58377687
50.4,19.37,3163.3147,11094.39554,32.05431501
50.5,19.51,3186.1781,13881.83967,39.82008938
50.6,19.65,3209.0415,14043.54221,39.99692329
50.7,20,3266.2,28607.5,80.05019365
50.8,20.18,3295.5958,17399.94061,48.25464
50.9,20.43,3336.4233,22563.08314,61.80769576
51,20.58,3360.9198,15849.03295,43.09926598
51.1,20.72,3383.7832,15323.92106,41.38973357
51.2,21.41,3496.4671,55589.15946,145.3067924
51.3,21.54,3517.6974,15629.94324,40.60917605
51.4,22.23,3630.3813,58206.03085,146.5348751
51.5,22.42,3661.4102,21324.36302,53.22956718
51.6,22.56,3684.2736,17719.14434,43.95579371
51.7,23.04,3762.6624,44753.18605,108.7061113
51.8,23.04,3762.6624,7414.833113,18.01073275
53,14.54,2374.5274,1516.588513,5.837351314
53.5,11.77,1922.1587,5533.47027,26.31077217
53.7,11.42,1865.0002,9539.029859,46.74665933
53.8,12.21,1994.0151,33098.26427,151.7057463
53.9,12.81,2092.0011,27034.06549,118.1067469
54,13.47,2199.7857,31221.11924,129.7159403
54.1,14.2,2319.002,36343.3877,143.2351274
54.2,14.85,2425.1535,34344.74406,129.4333842
55.3,10.12,1652.6972,10972.25842,60.67754362
55.4,10.38,1695.1578,9911.509169,53.43858002
55.5,10.89,1778.4459,19432.12514,99.8630658
55.7,10.91,1781.7121,7210.158973,36.98559125
56,10.07,1644.5317,20110.93518,111.7674318
56.1,10.97,1791.5107,33247.63901,169.6159382
56.6,9.77,1595.5387,14719.81943,84.31801906
56.7,10.88,1776.8128,40026.39621,205.8875428
56.8,10.87,1775.1797,551.7769005,2.84083786
56.9,11.77,1922.1587,35895.95851,170.6795808
57,11.98,1956.4538,9699.576122,45.31149731
57.1,12.15,1984.2165,8234.709796,37.93014444
57.4,10.88,1776.8128,1666.731499,8.573323743
57.5,11.08,1809.4748,8462.191571,42.74207169
57.6,11.13,1817.6403,2875.811706,14.46031517
57.7,11.53,1882.9643,16538.81834,80.27635513
57.8,11.95,1951.5545,18006.3083,84.32750529
57.9,12.49,2039.7419,23845.25215,106.8444473
58.5,11.16,1822.5396,21775.55918,109.1987325
58.6,11.77,1922.1587,24997.58792,118.8595598
58.7,11.95,1951.5545,8467.014187,39.65289117
58.8,12.35,2016.8785,17873.2913,80.99347858
58.9,12.42,2028.3102,4269.631612,19.23894643
