Time,SpeedMps,RPM,PowerW,Torque,Efficiency_Percent,PowerLoss_W,Power Pos,Power Loss Pos,Power Loss 5% Drive loss,J,Cumulation,Temp Rise,Temp
0,0.92,150.2512563,0,0,76.15507745,0,0,0,0,0,0,0,0
0.04,0.95,155.1507538,203.3625,12.51665738,78.40564428,43.91482165,203.3625,43.91482165,46.22612805,1.849045122,1.849045122,0.000606642,0.000606642
0.08,1.09,178.0150754,1035.3,55.53679503,84.12495327,164.3543588,1035.3,164.3543588,173.0045882,6.920183527,8.769228649,0.002270401,0.002877044
0.12,1.32,215.5778894,2009.3375,89.0061582,86.74259421,266.3860261,2009.3375,266.3860261,280.4063433,11.21625373,19.98548238,0.003679873,0.006556917
0.16,1.58,258.040201,2733.25,101.1494131,87.53452395,340.712624,2733.25,340.712624,358.6448674,14.3457947,34.33127708,0.004706626,0.011263542
0.2,1.82,297.2361809,2958,95.03156451,87.64423814,365.4834358,2958,365.4834358,384.7194061,15.38877624,49.72005332,0.005048811,0.016312353
0.24,1.97,321.7336683,2060.8125,61.16646067,85.81233306,292.3812138,2060.8125,292.3812138,307.7696987,12.31078795,62.03084127,0.004038972,0.020351326
0.28,2.13,347.8643216,2378,65.27897767,86.35332482,324.5179358,2378,324.5179358,341.5978271,13.66391309,75.69475435,0.004482911,0.024834237
0.32,2.37,387.0603015,3915,96.588299,88.39032021,454.5189637,3915,454.5189637,478.4410145,19.13764058,94.83239493,0.006278753,0.03111299
0.36,2.57,419.7236181,3581.5,81.48411061,87.97579716,430.6468247,3581.5,430.6468247,453.3124471,18.13249788,112.9648928,0.005948982,0.037061973
0.4,2.75,449.120603,3471.3,73.80750964,87.73891385,425.6190836,3471.3,425.6190836,448.020088,17.92080352,130.8856963,0.005879529,0.042941501
0.44,2.9,473.6180905,3072.1875,61.94279778,87.04489708,398.0050526,3072.1875,398.0050526,418.9526869,16.75810748,147.6438038,0.005498067,0.048439568
0.48,3.16,516.080402,5711.55,105.6836972,89.57681435,595.3254602,5711.55,595.3254602,626.6583792,25.06633517,172.710139,0.008223863,0.056663431
0.52,3.49,569.9748744,7955.0625,133.2782454,90.03860477,792.4352166,7955.0625,792.4352166,834.1423333,33.36569333,206.0758323,0.01094675,0.067610181
0.56,3.79,618.9698492,7917,122.1412984,90.43805194,757.0194277,7917,757.0194277,796.8625555,31.87450222,237.9503345,0.010457514,0.078067695
0.6,3.9,636.9346734,3066.3875,45.97307213,86.67790887,408.5069373,3066.3875,408.5069373,430.0073024,17.2002921,255.1506266,0.00564314,0.083710836
0.64,4.09,667.9648241,5503.1125,78.67308503,89.57996888,573.4260349,5503.1125,573.4260349,603.6063525,24.1442541,279.2948807,0.007921343,0.091632179
0.68,4.34,708.7939698,7639.6875,102.9264425,90.81212579,701.9248779,7639.6875,701.9248779,738.8682925,29.5547317,308.8496124,0.009696434,0.101328613
0.72,4.68,764.321608,11117.15,138.8956709,91.1543813,983.3806993,11117.15,983.3806993,1035.137578,41.40550313,350.2551156,0.013584483,0.114913096
0.76,5,816.5829146,11228.8,131.3120071,91.59709745,943.5451218,11228.8,943.5451218,993.2053914,39.72821565,389.9833312,0.013034191,0.127947287
0.8,5.31,867.2110553,11585.8625,127.5777523,91.93404248,934.5107474,11585.8625,934.5107474,983.6955236,39.34782094,429.3311522,0.01290939,0.140856677
0.84,5.5,898.241206,7445.3875,79.15269635,91.04747379,666.5502673,7445.3875,666.5502673,701.6318604,28.06527441,457.3964266,0.009207767,0.150064444
