Time,SpeedMPS,RPM,PowerW,Torque,Efficiency_Percent,PowerLoss_W
0,0.51,83.2881,452.4761573,49.65214321,82.7188075041146,78.1932757409981
0.1,0.95,155.1445,1112.55694,65.54070638,84.7888793119073,169.232378867151
0.2,1.32,215.5692,1456.608688,61.7563245,84.9941899320175,218.575933155011
0.3,1.97,321.7207,3686.024638,104.7139358,88.1256756788989,437.690520071813
0.4,2.37,387.0447,3009.483861,71.06506352,87.0843974620777,388.692973929677
0.5,2.9,473.599,4828.172744,93.17454444,88.9093946300559,535.473585616241
0.6,3.49,569.9519,6515.287261,104.4769817,89.9251007508541,656.408627338189
0.7,4.09,667.9379,7867.40347,107.6516253,90.6422536574375,736.211660468559
0.8,4.68,764.2908,8965.431267,107.2106202,91.2476250445606,784.68816086004
0.9,5.5,898.205,14429.36588,146.8239935,91.702592141177,1197.26333850544
1,5.99,978.2269,9829.860986,91.84024415,92.0965668967659,776.896487169418
1.1,6.84,1117.0404,18903.90775,154.6706688,92.5271915120224,1412.65282290145
1.2,7.18,1172.5658,8466.589837,65.99279958,91.6434565310774,707.514260064284
1.3,8.11,1324.4441,24701.72344,170.4585841,92.6151385417281,1824.18805384948
1.4,8.43,1376.7033,9516.640739,63.17839313,92.3363564123885,729.321427750401
1.5,9.03,1474.6893,18447.59575,114.3311308,94.9369209803266,934.016350052418
1.6,9.22,1505.7182,6522.409876,39.5903774,90.3611944150891,628.682407398665
1.7,9.69,1582.4739,15849.03337,91.5359048,94.8589767520098,814.802490133429
1.8,10.12,1652.6972,15298.88783,84.60418067,94.7967826195955,796.034390579151
1.9,11.2,1829.072,40276.61749,201.2553545,91.8390452648324,3286.95652221551
2,11.85,1935.2235,26715.86498,126.1721099,96.4437563580322,950.081249747944
2.1,12.61,2059.3391,33077.97009,146.8034424,96.2492703011067,1240.66524795668
2.2,13.09,2137.7279,22554.77995,96.42983501,96.587527624081,769.675635243066
2.3,13.78,2250.4118,33364.91309,135.5043559,97.0173518690732,995.157956664229
2.4,14.12,2305.9372,18039.10737,71.49782372,95.4391640344384,822.73409679724
2.5,14.39,2350.0309,15087.58418,58.67747108,94.3098485309339,858.506392864854
2.6,14.9,2433.319,27635.62837,103.7995693,97.28222047623,751.075449105031
2.7,15.31,2500.2761,23450.68105,85.72208884,96.5992870656393,797.490343663027
2.8,15.67,2559.0677,21501.73837,76.7921899,96.0505809225538,849.193757167343
2.9,15.82,2583.5642,10600.71526,37.5008547,91.6808852031018,881.885671771709
