Time,SpeedMPS,RPM,PowerW,Torque,RpmFiltered,Efficiency_Percent,PowerLoss_W
0.6,3.49,569.9519,6515.287261,104.4769817,569.9519,89.9251007508541,656.408627338189
0.7,4.09,667.9379,7867.40347,107.6516253,667.9379,90.6422536574375,736.211660468559
0.8,4.68,764.2908,8965.431267,107.2106202,764.2908,91.2476250445606,784.68816086004
0.9,5.5,898.205,14429.36588,146.8239935,898.205,91.702592141177,1197.26333850544
1,5.99,978.2269,9829.860986,91.84024415,978.2269,92.0965668967659,776.896487169418
1.1,6.84,1117.0404,18903.90775,154.6706688,1117.0404,92.5271915120224,1412.65282290145
1.2,7.18,1172.5658,8466.589837,65.99279958,1172.5658,91.6434565310774,707.514260064284
1.3,8.11,1324.4441,24701.72344,170.4585841,1324.4441,92.6151385417281,1824.18805384948
1.4,8.43,1376.7033,9516.640739,63.17839313,1376.7033,92.3363564123885,729.321427750401
1.5,9.03,1474.6893,18447.59575,114.3311308,1474.6893,94.9369209803266,934.016350052418
1.6,9.22,1505.7182,6522.409876,39.5903774,1505.7182,90.3611944150891,628.682407398665
1.7,9.69,1582.4739,15849.03337,91.5359048,1582.4739,94.8589767520098,814.802490133429
1.8,10.12,1652.6972,15298.88783,84.60418067,1652.6972,94.7967826195955,796.034390579151
1.9,11.2,1829.072,40276.61749,201.2553545,1829.072,91.8390452648324,3286.95652221551
2,11.85,1935.2235,26715.86498,126.1721099,1935.2235,96.4437563580322,950.081249747944
2.1,12.61,2059.3391,33077.97009,146.8034424,2059.3391,96.2492703011067,1240.66524795668
2.2,13.09,2137.7279,22554.77995,96.42983501,2137.7279,96.587527624081,769.675635243066
2.3,13.78,2250.4118,33364.91309,135.5043559,2250.4118,97.0173518690732,995.157956664229
2.4,14.12,2305.9372,18039.10737,71.49782372,2305.9372,95.4391640344384,822.73409679724
2.5,14.39,2350.0309,15087.58418,58.67747108,2350.0309,94.3098485309339,858.506392864854
2.6,14.9,2433.319,27635.62837,103.7995693,2433.319,97.28222047623,751.075449105031
2.7,15.31,2500.2761,23450.68105,85.72208884,2500.2761,96.5992870656393,797.490343663027
2.8,15.67,2559.0677,21501.73837,76.7921899,2559.0677,96.0505809225538,849.193757167343
2.9,15.82,2583.5642,10600.71526,37.5008547,2583.5642,91.6808852031018,881.885671771709
3,16.19,2643.9889,22916.50107,79.21618748,2643.9889,96.2572215628545,857.713860596183
3.1,16.47,2689.7157,18445.87824,62.67844514,2689.7157,94.8240251766514,954.754013647945
3.2,16.65,2719.1115,13103.80383,44.04489926,2719.1115,92.5537974310341,975.735777421709
3.3,17.19,2807.2989,34382.12829,111.9358897,2807.2989,97.742103992439,776.312701974407
3.4,17.69,2888.9539,33230.58203,105.129014,2888.9539,97.5936076337766,799.658189221535
3.5,18.17,2967.3427,33116.99069,102.001936,2967.3427,97.4792765040476,834.787765475182
3.6,18.34,2995.1054,14442.35378,44.07081925,2995.1054,92.2377385948695,1121.05325345734
3.7,19.04,3109.4224,48923.71376,143.8020073,3109.4224,97.6086550936131,1169.93473701509
3.8,19.15,3127.3865,11524.79424,33.68037188,3127.3865,90.3183732743009,1115.78755922167
3.9,19.36,3161.6816,18291.87784,52.87683051,3161.6816,93.1801091200558,1247.4861085807
4.1,19.75,3225.3725,35394.67926,100.295941,3225.3725,97.253979372706,971.945193444151
4.2,19.76,3227.0056,5440.647979,15.40906059,3227.0056,86.4900956806633,735.026336314825
5.8,10.79,1762.1149,6388.839326,33.13698547,1762.1149,90.244412693028,623.268798350092
6.1,10.17,1660.8627,11033.15117,60.7143139,1660.8627,93.1555058614966,755.16338512287
6.2,10.62,1734.3522,16828.20814,88.68003057,1734.3522,95.2539542852591,798.674451296156
6.3,11.02,1799.6762,15722.43215,79.84553047,1799.6762,94.9952401527066,786.869971261144
6.4,11.51,1879.6981,19904.21744,96.77925168,1879.6981,95.9902333234084,798.112678145455
6.5,11.83,1931.9573,13893.20659,65.72494401,1931.9573,94.3257315278337,788.337841309305
6.6,12.06,1969.5186,10586.07213,49.12471196,1969.5186,92.7497034325874,767.521624265217
6.7,12.57,2052.8067,22782.79687,101.4341598,2052.8067,96.5601515769904,783.693678850184
6.8,12.61,2059.3391,3084.464211,13.68917025,2059.3391,87.545558283587,384.152797422614
7.3,11.55,1886.2305,4223.182178,20.46304729,1886.2305,88.5253157168137,484.59682162929
7.4,12.02,1962.9862,20099.68512,93.58306438,1962.9862,96.0952408288762,784.844298090214
7.5,12.62,2060.9722,26588.97572,117.9111102,2060.9722,96.8037777191754,849.842766205674
7.6,13.05,2131.1955,20328.26405,87.17706781,2131.1955,96.1818224496239,776.169214338276
7.7,13.68,2234.0808,30430.05614,124.4884708,2234.0808,97.1535146603011,866.187086887235
7.8,14.16,2312.4696,24667.61145,97.49364815,2312.4696,96.9267265267305,758.103159182032
7.9,14.43,2356.5633,15139.41933,58.71585144,2356.5633,94.319052224469,860.06250565594
8.5,12.26,2002.1806,6261.932158,28.58448446,2002.1806,90.0291905398525,624.365323997885
8.6,12.58,2054.4398,14917.30867,66.36243471,2054.4398,94.634742709025,800.351991034424
8.7,13.19,2154.0589,28358.41817,120.3232856,2154.0589,97.0109958079833,847.634307890925
8.9,13.85,2261.8435,35347.12931,142.8291499,2261.8435,96.8345218792683,1118.9056446148
9,14.45,2359.8295,30944.60789,119.8476749,2359.8295,97.3896607581926,807.759242976103
9.1,15.09,2464.3479,34480.88145,127.8796961,2464.3479,97.5001026725338,861.986633855352
9.2,16,2612.96,50887.18,177.9921617,2612.96,95.4409223671731,2319.98604135635
9.3,16.16,2639.0896,11476.30011,39.74413196,2639.0896,91.9875314386823,919.534938316218
9.6,16.52,2697.8812,40407.80958,136.888745,2697.8812,97.6097297570871,965.855848203669
9.7,16.96,2769.7376,28219.78818,93.11944471,2769.7376,97.1132766236609,814.627222145428
9.8,17.21,2810.5651,17792.54852,57.8588456,2810.5651,94.247883539622,1023.44811213967
9.9,17.94,2929.7814,47393.00659,147.8442023,2929.7814,97.440003774624,1213.25917979617
10,18.32,2991.8392,27347.55054,83.54211004,2991.8392,96.4887494476329,960.241019394615
10.1,18.71,3055.5301,28715.30972,85.89189675,3055.5301,96.6029320980068,975.478569456057
10.2,19.14,3125.7534,32116.15776,93.90616935,3125.7534,97.0292641122387,954.086224346366
10.3,19.48,3181.2788,26975.83141,77.4994039,3181.2788,95.8321058294659,1124.3241047905
10.4,19.81,3235.1711,26919.17607,76.04834435,3235.1711,95.6289240950406,1176.65761900935
10.5,20.2,3298.862,31695.11777,87.81192065,3298.862,96.463518074085,1120.89211133352
10.6,20.37,3326.6247,16965.38253,46.61064399,3326.6247,91.9212924955389,1370.58363161163
10.7,20.75,3388.6825,32138.67162,86.68067749,3388.6825,96.2443986828963,1207.00037466037
10.8,20.7,3380.517,1909.952452,5.163743795,3380.517,83.5566490885111,314.060183924946
10.9,20.69,3378.8839,4731.781789,12.79901929,3378.8839,85.3708307805546,692.220365007712
11,21.03,3434.4093,29896.06989,79.55863134,3434.4093,95.5902827862775,1318.33214016584
11.1,21.5,3511.165,40171.61412,104.5666749,3511.165,97.0750214380559,1175.01110099692
11.2,21.78,3556.8918,26975.7423,69.31512401,3556.8918,94.2956839054181,1538.78160965185
11.3,22.29,3640.1799,45079.29604,113.1825653,3640.1799,97.1770204650483,1272.57930170948
11.4,22.53,3679.3743,25299.92254,62.84496312,3679.3743,93.1732087087444,1727.17290865513
11.5,22.94,3746.3314,39124.34677,95.44785257,3746.3314,96.1183593671919,1518.66654154505
11.6,23.18,3785.5258,26428.07282,63.80644364,3785.5258,92.9500337227272,1863.1702215431
11.7,23.55,3845.9505,37395.09855,88.86612569,3845.9505,95.3808759105626,1727.32600539191
11.8,23.73,3875.3463,22594.29121,53.28604162,3875.3463,91.1285747410075,2004.43565749426
11.9,24,3919.44,30329.89059,70.72485697,3919.44,93.3430048632986,2019.05934154316
12,24.24,3958.6344,28340.61875,65.4318483,3958.6344,92.5366265810618,2115.16620655011
12.1,24.39,3983.1309,21189.45658,48.62062023,3983.1309,89.9193497669208,2136.03500411999
12.3,24.64,4023.9584,39051.57717,88.69728997,4023.9584,94.8263711272749,2020.38367172163
12.4,24.86,4059.8866,27821.86591,62.63219104,4059.8866,91.7502372125968,2295.23794060441
12.5,25.14,4105.6134,33433.35141,74.42641765,4105.6134,93.0857226630731,2311.67463951676
12.6,25.35,4139.9085,27872.39344,61.53309729,4139.9085,91.2472545077082,2439.59966041343
12.7,25.67,4192.1677,38000.14296,82.84605593,4192.1677,93.6763943269786,2402.97919597479
12.8,25.84,4219.9304,25284.24612,54.76082416,4219.9304,89.8259312804162,2572.4365754775
12.9,26.28,4291.7868,49989.18688,106.4542949,4291.7868,95.2283764838994,2385.29579667354
13,26.35,4303.2185,17237.85196,36.61128759,4303.2185,86.0101498974926,2411.54965009613
13.1,26.67,4355.4777,40288.69598,84.54202986,4355.4777,93.1941783089556,2741.97681004578
13.2,26.8,4376.708,23366.02943,48.79357075,4376.708,87.9704384735913,2810.8308865606
13.3,26.99,4407.7369,29182.51223,60.51071262,4407.7369,89.7998627614507,2976.65629711644
13.4,26.95,4401.2045,8016.817599,16.64775627,4401.2045,80.7101836775586,1546.42938975226
15.7,12.71,2075.6701,19726.51065,86.85947431,2075.6701,96.0558415746931,778.044831821029
15.8,12.78,2087.1018,4460.194627,19.53149255,2087.1018,88.631746706318,507.046222588554
15.9,12.99,2121.3969,10711.74558,46.14913592,2121.3969,92.6430958000467,788.052860463328
16.2,12.82,2093.6342,22029.95872,96.16967183,2093.6342,96.4882393693931,773.639417267921
16.3,12.97,2118.1307,8073.083101,34.83468781,2118.1307,91.1195585164426,716.925420703269
16.5,13.17,2150.7927,12221.78134,51.93512851,2150.7927,93.3662637249955,810.760742203311
16.6,13.17,2150.7927,1536.134285,6.527635314,2150.7927,86.2025796033969,211.946905157804
16.7,13.32,2175.2892,8362.339985,35.1346856,2175.2892,91.2230431385583,733.958973090538
16.9,12.75,2082.2025,3578.192794,15.70601573,2082.2025,87.9399875521935,431.530496362916
17.4,11.83,1931.9573,17023.84188,80.53511963,1931.9573,95.3870843174076,785.295471862255
17.5,12.17,1987.4827,15162.44451,69.7254173,1987.4827,94.7739382898693,792.398706856925
17.6,12.27,2003.8137,5439.046626,24.80793955,2003.8137,89.4297594351496,574.920312802579
18.2,11.21,1830.7051,2145.826995,10.71276475,1830.7051,86.6830637882999,285.758412137592
18.4,11.33,1850.3023,7169.460921,35.41351767,1850.3023,90.764446500885,662.1393989571
18.5,11.67,1905.8277,14451.53569,69.30357206,1905.8277,94.555294009598,786.843629418513
18.6,11.93,1948.2883,11645.62094,54.63043794,1948.2883,93.3126427269807,778.784278919354
18.7,12.74,2080.5694,35492.6245,155.9125815,2080.5694,95.8964576552372,1456.45487562516
18.8,13.02,2126.2962,13793.4611,59.28908475,2126.2962,94.1089256586043,812.5830476525
18.9,13.56,2214.4836,26147.6507,107.915906,2214.4836,97.0350534795722,775.263859603266
19,13.88,2266.7428,16751.00355,67.54043299,2266.7428,95.0651414045453,826.6383385121
19.1,14.3,2335.333,22112.9212,86.54112901,2335.333,96.474187490448,779.660141896965
19.4,13.33,2176.9223,2950.074591,12.38555076,2176.9223,87.378236587518,372.351435367766
19.5,14.05,2294.5055,35461.07706,141.2498756,2294.5055,96.9467270506347,1082.72347342655
19.6,14.36,2345.1316,16968.90105,66.13201463,2345.1316,95.0265121869756,843.946225725916
19.7,14.78,2413.7218,22983.71726,87.02786156,2413.7218,96.5918626215152,783.316658903317
